Test Case Name,Score,Time
0000.txt,2083,0.009974241256713867
0001.txt,3271,0.011967658996582031
0002.txt,2176,0.006981372833251953
0003.txt,2099,0.007978200912475586
0004.txt,3152,0.010971546173095703
0005.txt,4032,0.012964487075805664
0006.txt,3013,0.00997304916381836
0007.txt,3702,0.014958858489990234
0008.txt,2801,0.010970354080200195
0009.txt,2049,0.008975744247436523
0010.txt,2629,0.01196742057800293
0011.txt,3761,0.013962984085083008
0012.txt,2509,0.010970592498779297
0013.txt,2417,0.010970115661621094
0014.txt,2819,0.01196742057800293
0015.txt,2728,0.010970115661621094
0016.txt,2729,0.011968612670898438
0017.txt,2474,0.011969804763793945
0018.txt,3626,0.01197361946105957
0019.txt,3891,0.013962030410766602
0020.txt,2815,0.008976459503173828
0021.txt,2145,0.008353233337402344
0022.txt,2940,0.0109710693359375
0023.txt,4017,0.011960744857788086
0024.txt,2159,0.008974552154541016
0025.txt,2051,0.009340763092041016
0026.txt,3518,0.012964487075805664
0027.txt,2185,0.00797891616821289
0028.txt,2330,0.009974002838134766
0029.txt,3502,0.011269807815551758
0030.txt,3501,0.012965917587280273
0031.txt,2552,0.008975744247436523
0032.txt,3908,0.014960527420043945
0033.txt,3266,0.009979009628295898
0034.txt,3224,0.010928869247436523
0035.txt,2625,0.008989095687866211
0036.txt,3897,0.012964248657226562
0037.txt,2963,0.00997304916381836
0038.txt,2188,0.009973526000976562
0039.txt,3733,0.010968208312988281
0040.txt,3957,0.013961553573608398
0041.txt,2482,0.007979631423950195
0042.txt,3067,0.03940629959106445
0043.txt,3416,0.011969566345214844
0044.txt,2966,0.009972810745239258
0045.txt,2103,0.008981943130493164
0046.txt,3850,0.016954660415649414
0047.txt,2671,0.010970115661621094
0048.txt,2299,0.007978200912475586
0049.txt,2528,0.010482311248779297
